period,minute,seconds,matchId,type,swimoff_homeTeamSwimmer_playerId,swimoff_homeTeamSwimmer_teamId,swimoff_awayTeamSwimmer_teamId,swimoff_awayTeamSwimmer_playerId,swimoff_winnerSwimmer_teamId,swimoff_winnerSwimmer_playerId,shot_teamId,shot_type,shot_takenBy_playerId,shot_takenBy_teamId,shot_assistedBy_playerId,shot_isGoal,shot_isFastBreak,shot_isDirectFromFoul,shot_locationX,shot_locationY,shot_targetX,shot_targetY,shot_savedBy_playerId,shot_savedBy_teamId,shot_blockedBy_playerId,shot_blockedBy_teamId,shot_blockedBy_positionId,turnover_teamId,turnover_type,turnover_lostPossesionPlayer_playerId,turnover_lostPossesionPlayer_teamId,turnover_wonPossesionPlayer_playerId,turnover_wonPossesionPlayer_teamId,exclusion_teamId,exclusion_type,exclusion_excludedPlayer_playerId,exclusion_excludedPlayer_teamId,exclusion_fouledPlayer_playerId,exclusion_fouledPlayer_teamId,exclusion_isPenaltyExclusion,exclusion_isDoubleExclusion,exclusion_locationX,exclusion_locationY,timeout_teamId,team_id,swimoff_home,swimoff_away,swimoff_winner,shot_taken_by,shot_assist_by,shot_saved_by,turnover_lost_by,turnover_won_by,exclusion_foul_by,exclusion_drawn_by,shot_blocked_by,home_team_id,away_team_id,game_time_seconds,team_id_last,game_time_seconds_last
Fourth_Period,0,49,12223,Shot,,,,,,,78.0,Power_Play,1260.0,78.0,,False,False,False,0.787,0.285,,,,,23855.0,165.0,401.0,,,,,,,,,,,,,,,,,,78.0, , , ,Boris Vapenski, , , , , , ,Nicolas Saveljic,165,78,49,78.0,65.0
Second_Period,4,59,12224,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,77.0, , , , , , , , , , , ,77,84,1259,77.0,1266.0
Third_Period,0,40,12224,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,84.0, , , , , , , , , , , ,77,84,520,84.0,520.0
Third_Period,0,20,12224,Shot,,,,,,,84.0,Power_Play,1342.0,84.0,,False,False,False,0.342,0.235,,,,,65.0,77.0,401.0,,,,,,,,,,,,,,,,,,84.0, , , ,Krisztian Manhercz, , , , , , ,Zvonimir Butic,77,84,500,84.0,520.0
Third_Period,0,4,12224,Turnover,,,,,,,,,,,,,,,,,,,,,,,,84.0,Lost_Ball,1344.0,84.0,,,,,,,,,,,,,,84.0, , , , , , ,Marton Vamos, , , , ,77,84,484,84.0,500.0
Fourth_Period,8,0,12224,Swim_Off,4.0,77.0,84.0,2368.0,84.0,2368.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,Luka Bukic,Vendel Vigvari,Vendel Vigvari, , , , , , , , ,77,84,480,84.0,484.0
Fourth_Period,7,33,12224,Shot,,,,,,,84.0,Regular_Attack,1342.0,84.0,,False,False,False,0.259,0.309,,,,,4.0,77.0,401.0,,,,,,,,,,,,,,,,,,84.0, , , ,Krisztian Manhercz, , , , , , ,Luka Bukic,77,84,453,84.0,480.0
Fourth_Period,5,30,12224,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,77.0, , , , , , , , , , , ,77,84,330,84.0,333.0
Fourth_Period,5,30,12224,Exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,Exclusion,1344.0,84.0,,,False,False,0.284,0.332,,77.0, , , , , , , , ,Marton Vamos, , ,77,84,330,77.0,330.0
Fourth_Period,5,11,12224,Shot,,,,,,,77.0,Power_Play,1410.0,77.0,,False,False,False,0.842,0.108,,,,,2367.0,84.0,401.0,,,,,,,,,,,,,,,,,,77.0, , , ,Konstantin Kharkov, , , , , , ,Gergo Fekete,77,84,311,77.0,330.0
